Lat,Lon,Titel,Cases,Deaths,Recovered
6.9257036,79.902757,Colombo,17,0,3
7.9341968,80.9781588,Polonnaruwa,17,0,0
7.4807041,80.3227606,Gampaha,10,0,0
6.0559758,80.1769773,Puttalam,5,0,0
6.9257036,79.902757,Batticaloa,3,0,0
7.9341968,80.9781588,Kalutara,3,0,0
7.4807041,80.3227606,Ratnapura,3,0,0
6.0559758,80.1769773,Galle,2,0,0
6.9257036,79.902757,Kurunegala,2,0,0
7.9341968,80.9781588,Badulla,1,0,0
7.4807041,80.3227606,Kandy,1,0,0
6.0559758,80.1769773,Kegalle,1,0,0
6.9257036,79.902757,Vavuniya,1,0,0
6.9257036,79.902757,unspecified,7,0,0
